YJコード,医薬品名,需要タイプ名,製造販売元メーカー,在庫数,単位,置き場,最終処方日,最終処方量,不動期間,期限間近/期限切れ数量,直近の有効期限,単位薬価,在庫金額（薬価）,採用停止日,JANコード
5200146C1031,クラシエ六味丸料エキス細粒,分包/1g/3g,クラシエ,42,g,,2026-03-07,84,32,0,2028-08-31,11.7,491.4,,4987045655807
5200120L1029,ウチダの八味丸Ｍ,分包/10丸/20丸,ウチダ,1840,丸,,2026-03-09,1320,30,0,2030-10-31,1.02,1876.8,,4987045665011
5200122F1067,クラシエ半夏厚朴湯エキス錠,SP/1錠/12錠,大峰堂,1076,錠,,2026-03-21,280,18,0,2028-12-31,8.6,9253.6,,4987045670831
5200140C1042,クラシエ抑肝散加陳皮半夏エキス細粒,分包/1g/3.75g,大峰堂,1380,g,,2026-04-02,236.25,6,0,2028-11-30,16.7,23046,,4987045677304
2655712Q1027,ルリコン液１％,包装小/1%1mL/10mL,サンファーマ,120,mL,,2026-02-21,20,46,0,2027-10-31,28.2,3384,,4987047105119
6290703Q1023,ルコナック爪外用液５％,包装小/5%1g/3.5g,佐藤製薬,21,g,,2026-03-21,7,18,0,2028-05-31,593.7,12467.7,,4987047105317
2669701N2113,尿素クリーム２０％「ＳＵＮ」,包装小/20%1g/25g,サンファーマ,55,g,,2026-02-28,50,39,0,2028-01-31,3.3,181.5,,4987047110885
2359102X1072,アローゼン顆粒,分包/1g/0.5g,サンファーマ,300,g,,2025-11-08,15,151,0,2028-01-31,6.9,2070,,4987047120723
2699803Q1020,デュアック配合ゲル,包装小/1g/10g,サンファーマ,100,g,,2025-11-22,20,137,0,2027-12-31,95.9,9590,,4987047210011
2399013F1021,サラジェン錠５ｍｇ,PTP/5mg1錠/10錠,キッセイ,431.5,錠,,2026-04-03,45,5,0,2029-04-30,47.6,20539.4,,4987051247126
2590017F1025,ベオーバ錠５０ｍｇ,PTP/50mg1錠/10錠,杏林,228,錠,,2026-04-07,22,1,0,2027-10-31,139.9,31897.2,,4987060008688
2419001F3026,ミニリンメルトＯＤ錠６０μｇ,PTP/60μg1錠/10錠,フェリング,225,錠,,2026-03-12,28,27,0,2028-03-31,60.3,13567.5,,4987802241878
4490025F2020,アレロック錠５,PTP/5mg1錠/10錠,協和キリン,188,錠,,2026-01-10,120,88,0,2027-07-31,16.8,3158.4,,4987057432342
4490025F4022,アレロックＯＤ錠５,PTP/5mg1錠/10錠,協和キリン,289,錠,,2026-03-28,120,11,0,2027-05-31,16.8,4855.2,,4987057569628
1139002F1070,カルバマゼピン錠２００ｍｇ「アメル」,PTP/200mg1錠/10錠,共和薬品,185.5,錠,,2026-04-01,20,7,0,2027-12-31,10,1855,,4987058162033
3112001F1063,アルファカルシドール錠０．２５μｇ「アメル」,PTP/0.25μg1錠/10錠,共和薬品,53,錠,,2026-03-18,14,21,0,2027-11-30,6.3,333.9,,4987058171387
3112001F2060,アルファカルシドール錠０．５μｇ「アメル」,PTP/0.5μg1錠/10錠,共和薬品,494,錠,,2026-04-04,35,4,0,2028-08-31,6.3,3112.2,,4987058172841
3112001F3066,アルファカルシドール錠１．０μｇ「アメル」,PTP/1μg1錠/10錠,共和薬品,1002.5,錠,,2026-01-15,168,83,0,2027-09-30,6.3,6315.75,,4987058173848
2329009F1152,スルピリド錠５０ｍｇ「アメル」,PTP/50mg1錠/10錠,共和薬品,372.5,錠,,2026-03-30,84,9,0,2028-03-31,6.8,2533,,4987058210284
1139004F2165,バルプロ酸ナトリウム錠２００ｍｇ「アメル」,PTP/200mg1錠/10錠,共和薬品,173,錠,,2025-11-12,63,147,0,2027-06-30,14.1,2439.3,,4987058221303
1169010F1031,セレギリン塩酸塩錠２．５ｍｇ「アメル」,PTP/2.5mg1錠/10錠,共和薬品,198,錠,,2026-03-26,28,13,0,2028-01-31,135,26730,,4987058260036
2171011N1149,硝酸イソソルビド徐放カプセル２０ｍｇ「Ｓｔ」,PTP/20mg1カプセル/10カプセル,佐藤薬品,199,カプセル,,2026-04-02,35,6,0,2028-01-31,6.3,1253.7,,4987376029001
1172014F1027,ヒルナミン錠（５ｍｇ）,PTP/5mg1錠/10錠,共和薬品,20,錠,,2023-08-19,28,963,0,2030-06-30,6.3,126,,4987058682036
1129006F1021,リスミー錠１ｍｇ,PTP/1mg1錠/10錠,共和薬品,92,錠,,2026-04-04,30,4,0,2028-05-31,10.8,993.6,,4987058690031
1171005C1024,ウインタミン細粒（１０％）,バラ/10%1g,共和薬品,130.75,g,,2026-04-03,4.75,5,130.75,2026-05-31,9.8,1281.35,,4987058692554
1179020F1244,ハロペリドール錠０．７５ｍｇ「アメル」,PTP/0.75mg1錠/10錠,共和薬品,0,錠,,2025-03-07,30,,0,,10.8,0,,4987058806289
2329015F2022,アプレース錠１００ｍｇ,PTP/100mg1錠/10錠,杏林,0,錠,,2024-12-06,189,,0,,0,0,,4987060003669
2233002F2022,ムコダイン錠５００ｍｇ,PTP/500mg1錠/10錠,杏林,233.5,錠,,2026-03-27,42,12,0,2028-01-31,10.8,2521.8,,4987060004802
4490032F1023,デザレックス錠５ｍｇ,PTP/5mg1錠/10錠,ＭＳＤ,206,錠,,2026-02-28,14,39,0,2026-11-30,33.4,6880.4,,4987060008411
6241019F1021,ラスビック錠７５ｍｇ,PTP/75mg1錠/10錠,杏林,10,錠,,2025-07-18,7,264,0,2027-12-31,270.2,2702,,4987060008664
2144008F1102,イミダプリル塩酸塩錠２．５ｍｇ「ＰＨ」,PTP/2.5mg1錠/10錠,キョーリンリメディオ,0,錠,,2025-05-08,17,,0,,10.8,0,,4987060301871
2144008F2109,イミダプリル塩酸塩錠５ｍｇ「ＰＨ」,PTP/5mg1錠/10錠,キョーリンリメディオ,158,錠,,2026-04-06,56,2,0,2027-02-28,13.8,2180.4,,4987060301925
1329710Q1035,モメタゾン点鼻液５０μｇ「杏林」５６噴霧用,包装小/5mg10g1瓶/1瓶,キョーリンリメディオ,27,瓶,,2026-03-25,2,14,0,2027-12-31,361.2,9752.4,,4987060308023
2171014G2352,ニフェジピンＬ錠２０ｍｇ「杏林」,PTP/20mg1錠/10錠,キョーリンリメディオ,113,錠,,2026-03-30,28,9,0,2027-01-31,6.3,711.9,,4987060309877
2329122D1414,マーズレンＳ配合顆粒,分包/1g/0.5g,寿,194,g,,2026-03-06,45,33,0,2026-12-31,9.4,1823.6,,4987071129037
1161001F1131,アマンタジン塩酸塩錠５０ｍｇ「サワイ」,PTP/50mg1錠/10錠,沢井,241,錠,,2026-02-21,154,46,0,2028-05-31,6.3,1518.3,,4987080000914
2149041F2221,バルサルタン錠４０ｍｇ「サワイ」,PTP/40mg1錠/14錠,沢井,334,錠,,2026-04-06,35,2,0,2028-02-29,10.8,3607.2,,4987080003977
2149041F3228,バルサルタン錠８０ｍｇ「サワイ」,PTP/80mg1錠/14錠,沢井,499,錠,,2026-04-01,42,7,0,2028-01-31,12.2,6087.8,,4987080004172
1179012F1169,クロチアゼパム錠５ｍｇ「サワイ」,PTP/5mg1錠/10錠,沢井,328,錠,,2026-03-12,90,27,0,2028-08-31,10.8,3542.4,,4987080030317
1124029F1123,ロフラゼプ酸エチル錠１ｍｇ「サワイ」,PTP/1mg1錠/10錠,沢井,572,錠,,2026-03-23,14,16,0,2028-10-31,10.8,6177.6,,4987080033516
6152005F1095,ミノサイクリン塩酸塩錠５０ｍｇ「サワイ」,PTP/50mg1錠/10錠,沢井,248,錠,,2026-02-14,14,53,0,2027-09-30,14.3,3546.4,,4987080034414
2144002F1300,エナラプリルマレイン酸塩錠２．５ｍｇ「サワイ」,PTP/2.5mg1錠/10錠,沢井,106,錠,,2026-04-03,28,5,0,2028-06-30,10.8,1144.8,,4987080035411
2659710N1209,テルビナフィン塩酸塩クリーム１％「サワイ」,包装小/1%1g/10g,沢井,260,g,,2026-04-06,10,2,0,2028-09-30,10.8,2808,,4987080036111
1124022F1083,ロラゼパム錠０．５ｍｇ「サワイ」,PTP/0.5mg1錠/10錠,沢井,87,錠,,2026-03-02,90,37,0,2028-10-31,6.3,548.1,,4987080037415
1319730Q1338,ケトチフェン点眼液０．０５％「ＳＷ」,包装小/3.45mg5mL1瓶/1瓶,沢井,14,瓶,,2026-03-07,2,32,0,2027-10-31,144.2,2018.8,,4987080037910
2171023F2127,一硝酸イソソルビド錠２０ｍｇ「サワイ」,PTP/20mg1錠/10錠,沢井,202,錠,,2026-03-24,140,15,0,2028-05-31,10.8,2181.6,,4987080038511
2129005F1200,ジソピラミド徐放錠１５０ｍｇ「ＳＷ」,PTP/150mg1錠/10錠,沢井,248,錠,,2026-03-12,56,27,0,2028-03-31,11.4,2827.2,,4987080039419
3222013F1157,クエン酸第一鉄Ｎａ錠５０ｍｇ「サワイ」,PTP/鉄50mg1錠/10錠,沢井,235,錠,,2026-04-06,63,2,0,2028-10-31,6.3,1480.5,,4987080100119
1124023F1118,アルプラゾラム錠０．４ｍｇ「サワイ」,PTP/0.4mg1錠/10錠,メディサ,358,錠,,2026-03-31,14,8,0,2028-07-31,6.3,2255.4,,4987080100218
2149037F1059,シルニジピン錠５ｍｇ「サワイ」,PTP/5mg1錠/10錠,沢井,136,錠,,2026-03-23,31,16,0,2028-05-31,10.8,1468.8,,4987080103110
2149037F2055,シルニジピン錠１０ｍｇ「サワイ」,PTP/10mg1錠/10錠,沢井,169,錠,,2026-03-12,63,27,0,2028-07-31,12.2,2061.8,,4987080106012
2399008F1110,イトプリド塩酸塩錠５０ｍｇ「サワイ」,PTP/50mg1錠/10錠,沢井,37,錠,,2026-01-26,42,72,0,2027-03-31,6.3,233.1,,4987080128014
3112006M1030,エルデカルシトールカプセル０．５μｇ「サワイ」,PTP/0.5μg1カプセル/10カプセル,沢井,381,カプセル,,2026-04-04,63,4,0,2027-12-31,10.6,4038.6,,4987080196112
3999003F1319,カモスタットメシル酸塩錠１００ｍｇ「サワイ」,PTP/100mg1錠/10錠,メディサ,272,錠,,2026-04-03,84,5,0,2028-06-30,10,2720,,4987080197010
3112006M2037,エルデカルシトールカプセル０．７５μｇ「サワイ」,PTP/0.75μg1カプセル/10カプセル,沢井,1417,カプセル,,2026-04-08,91,0,0,2028-05-31,15.4,21821.8,,4987080198123
4490027F2142,ロラタジンＯＤ錠１０ｍｇ「サワイ」,PTP/10mg1錠/10錠,沢井,206,錠,,2026-04-02,63,6,0,2028-06-30,12.8,2636.8,,4987080219019
2171014G1232,ニフェジピンＬ錠１０ｍｇ「サワイ」,PTP/10mg1錠/10錠,沢井,48,錠,,2025-04-09,42,364,0,2027-12-31,6.3,302.4,,4987080220015
3399002F4035,シロスタゾールＯＤ錠１００ｍｇ「サワイ」,PTP/100mg1錠/10錠,沢井,270.5,錠,,2026-04-02,17.5,6,0,2027-08-31,11.3,3056.65,,4987080278016
3399003F1146,リマプロストアルファデクス錠５μｇ「サワイ」,PTP/5μg1錠/21錠,メディサ,-354,錠,,2026-04-02,126,,0,,8.9,-3150.6,,4987080303978
2171014M1120,ニフェジピンカプセル５ｍｇ「サワイ」,PTP/5mg1カプセル/10カプセル,沢井,69,カプセル,,2025-05-19,10,324,69,2026-10-31,6.3,434.7,,4987080400011
2590009F4135,ナフトピジルＯＤ錠５０ｍｇ「サワイ」,PTP/50mg1錠/10錠,沢井,188.5,錠,,2026-03-23,31,16,0,2028-09-30,10.8,2035.8,,4987080541110
4490016M2062,スプラタストトシル酸塩カプセル１００ｍｇ「サワイ」,PTP/100mg1カプセル/10カプセル,沢井,136,カプセル,,2026-03-05,60,34,0,2028-03-31,20.3,2760.8,,4987080614418
3999002F2035,ミゾリビン錠５０ｍｇ「サワイ」,PTP/50mg1錠/10錠,沢井,49,錠,,2025-03-01,210,403,0,2026-11-30,0,0,,4987080657019
2149032F3032,カルベジロール錠１．２５ｍｇ「サワイ」,PTP/1.25mg1錠/10錠,沢井,152.5,錠,,2026-04-03,126,5,0,2027-08-31,10.8,1647,,4987080679011
2149032F4039,カルベジロール錠２．５ｍｇ「サワイ」,PTP/2.5mg1錠/10錠,沢井,127,錠,,2026-04-07,35,1,0,2027-11-30,10.8,1371.6,,4987080680017
2129007F1047,シベンゾリンコハク酸塩錠５０ｍｇ「サワイ」,PTP/50mg1錠/10錠,沢井,297,錠,,2026-04-07,60,1,0,2028-08-31,10.8,3207.6,,4987080686118
2129007F2043,シベンゾリンコハク酸塩錠１００ｍｇ「サワイ」,PTP/100mg1錠/10錠,沢井,208,錠,,2026-04-03,56,5,0,2028-08-31,14.2,2953.6,,4987080687115
2149032F2095,カルベジロール錠２０ｍｇ「サワイ」,PTP/20mg1錠/10錠,沢井,101,錠,,2026-02-26,42,41,0,2028-01-31,15.5,1565.5,,4987080782018
2189011F1203,シンバスタチン錠５ｍｇ「ＳＷ」,PTP/5mg1錠/10錠,メディサ,117,錠,,2026-03-05,35,34,0,2028-01-31,14.8,1731.6,,4987080783015
2649735S2024,ロキソニンテープ５０ｍｇ,包装小/7cm×10cm1枚/7枚,リードケミカル,126,枚,,2026-02-24,63,43,0,2027-10-31,13.1,1650.6,,4987081100309
2649735S3020,ロキソニンテープ１００ｍｇ,包装小/10cm×14cm1枚/7枚,リードケミカル,210,枚,,2026-04-04,56,4,0,2028-11-30,18.2,3822,,4987081100316
2679701Q1055,フロジン外用液５％,包装小/5%1mL/30mL,ニプロファーマ,270,mL,,2026-02-14,30,53,270,2026-02-28,15.4,4158,,4987081100422
2149115F1026,レザルタス配合錠ＬＤ,PTP/1錠/10錠,第一三共,20,錠,,2026-03-26,120,13,0,2028-07-31,19.7,394,,4987081102303
2149115F2022,レザルタス配合錠ＨＤ,PTP/1錠/10錠,第一三共,111,錠,,2026-03-05,35,34,0,2028-01-31,36.7,4073.7,,4987081102402
6250703G1022,イナビル吸入粉末剤２０ｍｇ,包装小/20mg1キット/1キット,第一三共,2,キット,,2026-01-07,1,91,0,2030-09-30,1484.9,2969.8,,4987081103003
2329029M2023,ネキシウムカプセル２０ｍｇ,PTP/20mg1カプセル/10カプセル,アストラゼネカ,95,カプセル,,2026-04-03,63,5,0,2027-08-31,48.2,4579,,4987650706109
3399009F1020,エフィエント錠３．７５ｍｇ,PTP/3.75mg1錠/10錠,第一三共,-71,錠,,2026-03-23,31,,0,,237,-16827,,4987081103324
3219100F1020,デノタスチュアブル配合錠,SP/1錠/10錠,日東薬品,163,錠,,2026-04-02,126,6,0,2028-10-31,10.9,1776.7,,4987081103560
1149019F1560,ロキソニン錠６０ｍｇ,PTP/60mg1錠/10錠,第一三共,152,錠,,2025-10-29,21,161,0,2027-02-28,10.8,1641.6,,4987081105403
3339002F4029,リクシアナＯＤ錠１５ｍｇ,PTP/15mg1錠/10錠,第一三共,133,錠,,2026-04-07,35,1,0,2027-10-31,180.3,23979.9,,4987081106998
3339002F5025,リクシアナＯＤ錠３０ｍｇ,PTP/30mg1錠/10錠,第一三共,180,錠,,2026-04-03,28,5,0,2028-09-30,330.1,59418,,4987081107032
3339002F6021,リクシアナＯＤ錠６０ｍｇ,PTP/60mg1錠/10錠,第一三共,135.5,錠,,2026-03-23,30.5,16,0,2028-05-31,334.5,45324.75,,4987081107070
2149049F2023,ミネブロ錠２．５ｍｇ,PTP/2.5mg1錠/10錠,第一三共,43,錠,,2026-03-26,60,13,0,2028-03-31,91.6,3938.8,,4987081108350
2649801M1028,グリメサゾン軟膏,包装小/1g/5g,藤永,65,g,,2026-03-28,20,11,0,2030-03-31,19.3,1254.5,,4987081140213
2171021F1105,ベニジピン塩酸塩錠２ｍｇ「ＹＤ」,PTP/2mg1錠/10錠,陽進堂,-147,錠,,2026-04-02,35,,0,,10.8,-1587.6,,4987476110913
6241013F3051,レボフロキサシン錠５００ｍｇ「ＤＳＥＰ」,PTP/500mg1錠(レボフロキサシンとして)/5錠,第一三共エスファ,68,錠,,2026-03-26,5,13,0,2028-03-31,60.8,4134.4,,4987081183579
2149116F2043,カムシア配合錠ＨＤ「サンド」,PTP/1錠/10錠,サンド,328,錠,,2026-04-06,45,2,0,2027-11-30,19,6232,,4987614416105
2149044F8037,オルメサルタンＯＤ錠５ｍｇ「ＤＳＥＰ」,PTP/5mg1錠/10錠,第一三共エスファ,178,錠,,2026-04-03,63,5,0,2028-05-31,10.8,1922.4,,4987081187058
2149044F6034,オルメサルタンＯＤ錠２０ｍｇ「ＤＳＥＰ」,PTP/20mg1錠/10錠,第一三共エスファ,99,錠,,2026-04-07,30,1,0,2028-07-31,16.6,1643.4,,4987081187171
2149044F7030,オルメサルタンＯＤ錠４０ｍｇ「ＤＳＥＰ」,PTP/40mg1錠/10錠,第一三共エスファ,65,錠,,2026-04-08,35,0,0,2028-09-30,23.1,1501.5,,4987081187249
2499011F1028,デュタステリド錠０．５ｍｇＡＶ「ＤＳＥＰ」,PTP/0.5mg1錠/10錠,第一三共エスファ,155,錠,,2026-04-06,30,2,0,2028-06-30,25.7,3983.5,,4987081189854
6222001F3037,イスコチン錠１００ｍｇ,PTP/100mg1錠/10錠,アルフレッサファーマ,268,錠,,2026-02-07,168,60,0,2029-11-30,10.8,2894.4,,4987274130052
2129011F1035,ベプリコール錠５０ｍｇ,PTP/50mg1錠/10錠,ＭＳＤ,229,錠,,2026-03-05,105,34,0,2027-01-31,28.7,6572.3,,4987954600059
8219700S5026,デュロテップＭＴパッチ２．１ｍｇ,包装小/2.1mg1枚/1枚,ヤンセン,20,枚,,2022-09-01,20,1315,20,2024-08-31,1567.4,31348,,4987672848566
1312701Q3082,サンピロ点眼液２％,包装小/2%5mL1瓶/1瓶,参天,5,瓶,,2026-03-05,10,34,0,2028-04-30,103.1,515.5,,4987084122056
1319756Q1022,タプロス点眼液０．００１５％,包装小/0.0015%1mL/2.5mL,参天,2.5,mL,,2026-04-04,10,4,0,2028-04-30,458.9,1147.25,,4987084130129
1319758Q1021,ジクアス点眼液３％,包装小/3%5mL1瓶/1瓶,参天,21,瓶,,2026-04-02,5,6,0,2028-06-30,323.9,6801.9,,4987084170101
4420002F1117,リマチル錠１００ｍｇ,PTP/100mg1錠/10錠,あゆみ,297,錠,,2026-04-04,182,4,0,2028-06-30,24.7,7335.9,,4987896000108
6219001H2036,アザルフィジンＥＮ錠２５０ｍｇ,PTP/250mg1錠/10錠,あゆみ,544,錠,,2026-03-07,182,32,0,2027-09-30,14,7616,,4987896000184
1319706Q3043,ピレノキシン懸濁性点眼液０．００５％「参天」,包装小/0.005%5mL1瓶/1瓶,参天,28,瓶,,2026-03-30,2,9,0,2028-07-31,94.8,2654.4,,4987084313997
2491001F6060,カルナクリン錠５０,PTP/50単位1錠/10錠,三和化学,379,錠,,2026-03-28,60,11,0,2027-11-30,12.2,4623.8,,4987086151238
3962002F3074,メトホルミン塩酸塩錠５００ｍｇＭＴ「三和」,PTP/500mg1錠/10錠,三和化学,558,錠,,2026-03-26,126,13,0,2028-10-31,10.8,6026.4,,4987086410922
2149110F2070,ロサルヒド配合錠ＨＤ「三和」,PTP/1錠/10錠,三和化学,148,錠,,2026-04-02,42,6,0,2028-04-30,29.1,4306.8,,4987086471367
1141700J2092,アルピニー坐剤１００,包装小/100mg1個/5個,久光,1,個,,2023-04-11,2.5,1093,0,,21.6,21.6,,4987086500548
2239001G1020,アンブロキソール塩酸塩徐放ＯＤ錠４５ｍｇ「ＺＥ」,PTP/45mg1錠/10錠,全星,108,錠,,2026-03-25,36,14,0,2028-04-30,16.1,1738.8,,4987086501965
2133001F1646,スピロノラクトン錠２５ｍｇ「ＴＣＫ」,PTP/25mg1錠/10錠,辰巳,336.5,錠,,2026-04-07,30,1,0,2028-07-31,10.8,3634.2,,4987124045819
